train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.5625,0.4366137981414795,1.5235264301300049,0,49,,,,,,
0.625,0.5610978603363037,1.3392131328582764,0,99,,,,,,
,,,0,140,0.7231788039207458,0.6309274435043335,1.0379222631454468,,,
,,,0,140,,,,0.5723626017570496,0.47665655612945557,1.4975295066833496
0.765625,0.6160728931427002,0.8065836429595947,1,149,,,,,,
0.8125,0.6965529918670654,0.815423846244812,1,199,,,,,,
0.921875,0.8631076216697693,0.4774464964866638,1,249,,,,,,
,,,1,281,0.7738410830497742,0.6914014220237732,0.8677763342857361,,,
,,,1,281,,,,0.8199246525764465,0.749632716178894,0.7174280285835266
0.90625,0.8176642656326294,0.4597240090370178,2,299,,,,,,
0.890625,0.8443201184272766,0.4544594883918762,2,349,,,,,,
0.96875,0.9069674611091614,0.3293082118034363,2,399,,,,,,
,,,2,422,0.7827814817428589,0.7177872657775879,0.8641085028648376,,,
,,,2,422,,,,0.9084663391113281,0.8717268109321594,0.4435666799545288
0.890625,0.8078733682632446,0.41532835364341736,3,449,,,,,,
0.9375,0.9374488592147827,0.37084347009658813,3,499,,,,,,
0.96875,0.9748737812042236,0.3098239004611969,3,549,,,,,,
,,,3,563,0.815562903881073,0.7737194299697876,0.7177724838256836,,,
,,,3,563,,,,0.9379432797431946,0.9204124808311462,0.35632720589637756
0.984375,0.9719887971878052,0.23259440064430237,4,599,,,,,,
0.953125,0.9382752180099487,0.2756744623184204,4,649,,,,,,
0.921875,0.9051659107208252,0.456390917301178,4,699,,,,,,
,,,4,704,0.8413907289505005,0.8117300271987915,0.6849521398544312,,,
,,,4,704,,,,0.9690824747085571,0.965783953666687,0.26831695437431335
0.984375,0.9555556178092957,0.21053676307201385,5,749,,,,,,
0.984375,0.9827451705932617,0.21232455968856812,5,799,,,,,,
,,,5,845,0.8675496578216553,0.8376185297966003,0.6012495160102844,,,
,,,5,845,,,,0.983820915222168,0.9792770743370056,0.23045489192008972
0.96875,0.9481481909751892,0.22126445174217224,6,849,,,,,,
0.953125,0.9302583932876587,0.25669199228286743,6,899,,,,,,
1.0,1.0,0.20204728841781616,6,949,,,,,,
,,,6,986,0.8695363998413086,0.8476136922836304,0.6412672996520996,,,
,,,6,986,,,,0.9899157881736755,0.9886114597320557,0.20714376866817474
0.984375,0.9853480458259583,0.2243448942899704,7,999,,,,,,
1.0,1.0,0.1765041947364807,7,1049,,,,,,
0.96875,0.9520697593688965,0.24644312262535095,7,1099,,,,,,
,,,7,1127,0.8675496578216553,0.8347662687301636,0.6105358004570007,,,
,,,7,1127,,,,0.9914671778678894,0.9922293424606323,0.20289979875087738
1.0,1.0,0.1940675973892212,8,1149,,,,,,
1.0,1.0,0.18169942498207092,8,1199,,,,,,
0.984375,0.9943957328796387,0.2202560007572174,8,1249,,,,,,
,,,8,1268,0.8314569592475891,0.7963381409645081,0.768377423286438,,,
,,,8,1268,,,,0.9841533899307251,0.9838774800300598,0.21793077886104584
0.953125,0.9623904228210449,0.26270848512649536,9,1299,,,,,,
0.96875,0.9681969285011292,0.2460021674633026,9,1349,,,,,,
0.96875,0.9055459499359131,0.25641000270843506,9,1399,,,,,,
,,,9,1409,0.8149006366729736,0.7661409974098206,0.8121421933174133,,,
,,,9,1409,,,,0.9715203642845154,0.9661604166030884,0.25242090225219727
0.984375,0.9722222089767456,0.24763795733451843,10,1449,,,,,,
0.953125,0.9302374124526978,0.30897125601768494,10,1499,,,,,,
0.9375,0.934991180896759,0.3290880024433136,10,1549,,,,,,
,,,10,1550,0.8390728235244751,0.8104398250579834,0.7019826173782349,,,
,,,10,1550,,,,0.9635416865348816,0.9575008153915405,0.2826334536075592
0.984375,0.9806061387062073,0.20547467470169067,11,1599,,,,,,
0.984375,0.9619048237800598,0.2225237786769867,11,1649,,,,,,
,,,11,1691,0.8523178696632385,0.8270472884178162,0.6788583397865295,,,
,,,11,1691,,,,0.9772828221321106,0.9714279174804688,0.24157428741455078
0.984375,0.9717172384262085,0.18949690461158752,12,1699,,,,,,
0.984375,0.9815126657485962,0.2208467274904251,12,1749,,,,,,
0.953125,0.9660699367523193,0.24302202463150024,12,1799,,,,,,
,,,12,1832,0.8615894317626953,0.8355389833450317,0.597051203250885,,,
,,,12,1832,,,,0.9804964661598206,0.9813628196716309,0.22588425874710083
0.984375,0.9347826242446899,0.21072344481945038,13,1849,,,,,,
1.0,1.0,0.19051381945610046,13,1899,,,,,,
0.96875,0.9126207828521729,0.21184706687927246,13,1949,,,,,,
,,,13,1973,0.8692052960395813,0.8359826803207397,0.6051520705223083,,,
,,,13,1973,,,,0.9880319237709045,0.9885070323944092,0.20316852629184723
0.984375,0.9722222089767456,0.23273523151874542,14,1999,,,,,,
1.0,1.0,0.18876945972442627,14,2049,,,,,,
1.0,1.0,0.1680666208267212,14,2099,,,,,,
,,,14,2114,0.8761589527130127,0.8513091802597046,0.5774819254875183,,,
,,,14,2114,,,,0.993018627166748,0.9918187856674194,0.1878499984741211
0.984375,0.9876750707626343,0.2011638879776001,15,2149,,,,,,
0.984375,0.9894180297851562,0.18573644757270813,15,2199,,,,,,
1.0,1.0,0.16164425015449524,15,2249,,,,,,
,,,15,2255,0.8927152156829834,0.8701369762420654,0.5103715062141418,,,
,,,15,2255,,,,0.9965647459030151,0.9968411922454834,0.1744769662618637
1.0,1.0,0.16074717044830322,16,2299,,,,,,
1.0,1.0,0.1631774604320526,16,2349,,,,,,
,,,16,2396,0.8960264921188354,0.8742331862449646,0.509452223777771,,,
,,,16,2396,,,,0.9984486103057861,0.9987066388130188,0.16430696845054626
0.984375,0.9899159669876099,0.1825694739818573,17,2399,,,,,,
1.0,1.0,0.1687575876712799,17,2449,,,,,,
1.0,1.0,0.16065791249275208,17,2499,,,,,,
,,,17,2537,0.8870860934257507,0.870278000831604,0.5299039483070374,,,
,,,17,2537,,,,0.9965647459030151,0.9970170259475708,0.1685158908367157
1.0,1.0,0.15896648168563843,18,2549,,,,,,
1.0,1.0,0.16273318231105804,18,2599,,,,,,
1.0,1.0,0.15895426273345947,18,2649,,,,,,
,,,18,2678,0.8860927224159241,0.8651455640792847,0.508246123790741,,,
,,,18,2678,,,,0.9976728558540344,0.9979315996170044,0.16508318483829498
1.0,1.0,0.1578298956155777,19,2699,,,,,,
0.984375,0.9837104082107544,0.17548373341560364,19,2749,,,,,,
0.984375,0.9869281649589539,0.18118619918823242,19,2799,,,,,,
,,,19,2819,0.8370860815048218,0.8158285617828369,0.7093299627304077,,,
,,,19,2819,,,,0.9942376017570496,0.9945402145385742,0.17412599921226501
