train_accuracy_step,train_f1score_step,train_cross_entropy_step,epoch,step,val_accuracy,val_f1score,val_cross_entropy,train_accuracy_epoch,train_f1score_epoch,train_cross_entropy_epoch
0.21875,0.053368717432022095,2.6032707691192627,0,49,,,,,,
0.171875,0.07136885821819305,2.543640613555908,0,99,,,,,,
,,,0,140,0.26092714071273804,0.10788296908140182,2.4090323448181152,,,
,,,0,140,,,,0.22462323307991028,0.07922296226024628,2.5530426502227783
0.265625,0.09529988467693329,2.3194572925567627,1,149,,,,,,
0.203125,0.07547822594642639,2.460787057876587,1,199,,,,,,
0.296875,0.14676672220230103,2.240964889526367,1,249,,,,,,
,,,1,281,0.3288079500198364,0.1666281819343567,2.1872055530548096,,,
,,,1,281,,,,0.30219414830207825,0.1378432810306549,2.27569317817688
0.3125,0.1594148725271225,2.256272315979004,2,299,,,,,,
0.3125,0.16954249143600464,2.1210389137268066,2,349,,,,,,
0.4375,0.24040251970291138,1.8678737878799438,2,399,,,,,,
,,,2,422,0.3615894019603729,0.19320662319660187,2.056170701980591,,,
,,,2,422,,,,0.3666888177394867,0.1962110698223114,2.0802652835845947
