,train_loss,train_acc,val_loss,val_acc,trainf1,valf1
0,2.532983512439657,0.4231151341207639,2.056394506088438,0.47218543046357614,0.08550007085291486,0.17939000657886098
1,1.7369798365767286,0.6616624351473672,1.4172645845704273,0.7092715231788079,0.27938210228042515,0.38112159865812606
2,1.1519031697614455,0.705707031681201,1.1205889625753456,0.7314569536423841,0.48041683411750913,0.5264794946853179
3,0.7899799253087384,0.7225963130588365,0.9537058361325154,0.7168874172185431,0.6285536486649382,0.6025098419144544
4,0.5200920674862142,0.7292195606579093,0.8901703113174807,0.6854304635761589,0.7402137763973449,0.647171720688202
5,0.3507985409295677,0.7174081024395629,0.8712779345476932,0.6682119205298013,0.8107637014622161,0.675028428667469
6,0.22645136670904115,0.7197262390992383,0.8691655348068482,0.6751655629139073,0.8555366308156365,0.6855512715066555
7,0.1605031879459088,0.7171873275195938,0.8560204781397696,0.6771523178807947,0.8864272628082306,0.6939637286503769
8,0.11884594051995731,0.7211612760790375,0.8640076737711533,0.6831125827814569,0.9047854914144027,0.7004863808989016
9,0.09073388937319136,0.7213820509990065,0.8966760020571058,0.6695364238410596,0.9140344206998525,0.7013038193901955
10,0.07114005801811205,0.7155315156198256,0.8906179003631333,0.6748344370860927,0.9236143527658256,0.7093477347173884
