,train_loss,train_acc,val_loss,val_acc,trainf1,valf1
0,2.5364066445115827,0.4147256871619384,2.1130487640820066,0.5231788079470199,0.08043190502050188,0.1675860310164727
1,1.7931436158084426,0.6820841152445082,1.5172897143901567,0.6907284768211921,0.2706150660616744,0.36979351192620574
2,1.2617327088570895,0.7249144497185119,1.2457618294677275,0.6837748344370861,0.433018507939622,0.48342384690217816
3,0.902089941672154,0.7204989513191301,1.0714908471628235,0.7211920529801324,0.5728535452740178,0.5709113318539437
4,0.6498991182672266,0.7363947455569048,0.995577238770509,0.6725165562913907,0.6885497782666324,0.6140747317290474
5,0.46281378742658197,0.7253559995584502,0.9599850929916657,0.6748344370860927,0.7622730137841854,0.6469786806679285
6,0.32981716572680464,0.7218236008389447,0.9536185379444007,0.6543046357615894,0.8165749185227171,0.6520905494954647
7,0.24556586133001113,0.7175184898995474,0.9319366708299852,0.6745033112582781,0.8501562139275411,0.6734306394511217
8,0.1809040973869984,0.7191743017993156,0.9403425486576186,0.6917218543046357,0.8819614739988216,0.6682772526478432
9,0.14139043398507797,0.7171873275195938,0.9339322508071116,0.659933774834437,0.8946824416663206,0.6812568030980599
10,0.1054211176446001,0.7207197262390992,0.9677528799461267,0.6738410596026491,0.9092549043466166,0.6872345759450427
